text,category
"Questo prodotto è fantastico! Lo consiglio a tutti",positive
"Servizio clienti pessimo, molto deluso",negative
"Il prodotto è ok, niente di speciale",neutral
"Incredibile qualità, supera le aspettative",positive
"Totalmente insoddisfatto dell'acquisto",negative
"Prodotto discreto, potrebbe essere migliore",neutral
"Esperienza eccellente, tornerò sicuramente",positive
"Qualità scadente, soldi buttati",negative
"Nella media, accettabile",neutral
"Servizio impeccabile, personale gentilissimo",positive
"Prodotto difettoso, chiedo rimborso",negative
"Funziona come previsto, senza sorprese",neutral
"Migliore acquisto dell'anno!",positive
"Deludente sotto ogni aspetto",negative
"Soddisfa le aspettative di base",neutral
"Qualità premium, vale ogni centesimo",positive
"Esperienza terribile, sconsiglio vivamente",negative
"Prodotto standard, fa il suo lavoro",neutral
"Eccezionale rapporto qualità-prezzo",positive
"Completamente inutile, tempo sprecato",negative
